phylum,CF_id,positive_species,total_species_in_phylum,percentage
BMS3Abin14,CF13,12,20,60.0
BMS3Abin14,CF14,5,20,25.0
BMS3Abin14,CF15_17,12,20,60.0
BMS3Abin14,CF23,9,20,45.0
BMS3Abin14,CF24,12,20,60.0
BMS3Abin14,CF2_4,2,20,10.0
BMS3Abin14,CF5,2,20,10.0
BMS3Abin14,CF6,7,20,35.0
BS750m-G25,CF12,1,1,100.0
BS750m-G25,CF9_9,1,1,100.0
Babelota,CF1,20,194,10.309278350515463
Babelota,CF12,145,194,74.74226804123711
Babelota,CF13,132,194,68.04123711340206
Babelota,CF14,128,194,65.97938144329896
Babelota,CF15_17,48,194,24.742268041237114
Babelota,CF18,1,194,0.5154639175257731
Babelota,CF22,2,194,1.0309278350515463
Babelota,CF24,1,194,0.5154639175257731
Babelota,CF3,100,194,51.546391752577314
Babelota,CF5,29,194,14.948453608247423
Babelota,CF7,1,194,0.5154639175257731
Bacillota,CF0,11584,205871,5.6268245648974355
Bacillota,CF1,15837,205871,7.69268133928528
Bacillota,CF10,3661,205871,1.7782980604359038
Bacillota,CF11,7130,205871,3.463333835265773
Bacillota,CF12,24547,205871,11.923486066517382
Bacillota,CF13,23705,205871,11.51449208484925
Bacillota,CF14,22361,205871,10.861656085607006
Bacillota,CF15_17,17134,205871,8.322687508196882
Bacillota,CF16,21568,205871,10.476463416411248
Bacillota,CF17_20,7337,205871,3.56388223693478
Bacillota,CF18,10376,205871,5.0400493512928
Bacillota,CF19,4445,205871,2.1591190599938797
Bacillota,CF20,4152,205871,2.0167969262305037
Bacillota,CF21,1123,205871,0.5454872225811309
Bacillota,CF22,3220,205871,1.5640862481845426
Bacillota,CF23,3997,205871,1.941507060246465
Bacillota,CF24,23605,205871,11.465917977762775
Bacillota,CF25,3316,205871,1.61071739098756
Bacillota,CF26,10853,205871,5.271747842095293
Bacillota,CF2_10,8994,205871,4.368755191357695
Bacillota,CF2_4,16253,205871,7.894749624765023
Bacillota,CF3,6764,205871,3.2855526033292692
Bacillota,CF4,2766,205871,1.3435598020119395
Bacillota,CF5,19194,205871,9.323314114178297
Bacillota,CF6,12473,205871,6.058648376896212
Bacillota,CF7,3686,205871,1.7904415872075232
Bacillota,CF8,11484,205871,5.5782504578109595
